Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
24,16,*,*,*,*,*,*,*,*,*,*,*,*
24,18,*,*,*,*,*,*,*,*,*,*,*,*
24,20,*,*,*,*,*,*,*,*,*,*,*,*
24,22,381.978372,0.019995,381.976197,0.011453,*,*,*,*,*,*,*,*
24,24,411.466446,0.007379,411.469286,0.007324,*,*,*,*,*,*,*,*
24,26,435.049401,0.001001,435.051974,0.000437,*,*,*,*,*,*,*,*
24,28,456.349471,0.000779,456.35178,0.00034,*,*,*,*,*,*,*,*
24,30,474.007718,0.000765,474.009938,0.000353,*,*,*,*,*,*,*,*
24,32,488.499054,0.001863,488.50281,0.000603,*,*,*,*,*,*,*,*
24,34,501.195171,0.202917,501.352246,0.00149,*,*,*,*,*,*,*,*
24,36,512.006957,0.213397,512.172657,0.193593,*,*,*,*,*,*,*,*
24,38,522.06027,0.336992,522.540678,0.148099,*,*,*,*,*,*,*,*
24,40,*,*,531.268109,0.439665,*,*,*,*,*,*,*,*
24,42,*,*,*,*,*,*,*,*,*,*,*,*
24,44,*,*,*,*,*,*,*,*,*,*,*,*
24,46,*,*,*,*,*,*,*,*,*,*,*,*
24,48,*,*,*,*,*,*,*,*,*,*,*,*
24,50,*,*,*,*,*,*,*,*,*,*,*,*
24,52,*,*,*,*,*,*,*,*,*,*,*,*
24,54,*,*,*,*,*,*,*,*,*,*,*,*
24,56,*,*,*,*,*,*,*,*,*,*,*,*
24,58,*,*,*,*,*,*,*,*,*,*,*,*
24,60,*,*,*,*,*,*,*,*,*,*,*,*
24,62,*,*,*,*,*,*,*,*,*,*,*,*
24,64,*,*,*,*,*,*,*,*,*,*,*,*
24,66,*,*,*,*,*,*,*,*,*,*,*,*
24,68,*,*,*,*,*,*,*,*,*,*,*,*
24,70,*,*,*,*,*,*,*,*,*,*,*,*
24,72,*,*,*,*,*,*,*,*,*,*,*,*
24,74,*,*,*,*,*,*,*,*,*,*,*,*
